DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210203|A|3800|5200|B
20210203|AA|17579|46000|B
20210203|AAAU|8783|9963|B
20210203|AAC=|300|11100|B
20210203|AACQ|1300|2100|B
20210203|AACQW|400|400|B
20210203|AAIC|800|800|B
20210203|AAL|176289|280084|B
20210203|AAN|1291|3691|B
20210203|AAOI|600|900|B
20210203|AAON|800|800|B
20210203|AAP|2006|4906|B
20210203|AAPL|127380|324158|B
20210203|AAT|285|685|B
20210203|AAU|8000|18999|B
20210203|AAWW|1400|3900|B
20210203|AAXJ|49701|50878|B
20210203|AB|100|483|B
20210203|ABB|1000|3814|B
20210203|ABBV|29338|55417|B
20210203|ABC|4400|6127|B
20210203|ABCB|2554|2974|B
20210203|ABCL|1600|4261|B
20210203|ABCM|691|791|B
20210203|ABEO|5456|8356|B
20210203|ABEQ|100|100|B
20210203|ABEV|172379|226536|B
20210203|ABG|351|751|B
20210203|ABIO|100|600|B
20210203|ABM|800|900|B
20210203|ABMD|900|2100|B
20210203|ABNB|7791|12587|B
20210203|ABR|3892|6092|B
20210203|ABST|300|300|B
20210203|ABT|15482|34025|B
20210203|ABTX|100|100|B
20210203|ABUS|1165|2017|B
20210203|ACA|600|600|B
20210203|ACAC|1418|2368|B
20210203|ACACU|300|800|B
20210203|ACAD|3003|8403|B
20210203|ACB|20329|44298|B
20210203|ACBI|198|198|B
20210203|ACC|3292|6692|B
20210203|ACCD|1348|2798|B
20210203|ACCO|200|500|B
20210203|ACER|0|500|B
20210203|ACES|100|100|B
20210203|ACET|0|100|B
20210203|ACEV|200|600|B
20210203|ACEVW|0|100|B
20210203|ACGL|900|3881|B
20210203|ACHC|1400|2400|B
20210203|ACHV|400|400|B
20210203|ACI|3460|10435|B
20210203|ACIA|800|4900|B
20210203|ACIC|700|1100|B
20210203|ACIC=|100|300|B
20210203|ACIU|1001|1751|B
20210203|ACIW|900|1300|B
20210203|ACLS|100|100|B
20210203|ACM|1600|2500|B
20210203|ACMR|0|100|B
20210203|ACN|5800|7515|B
20210203|ACND|300|2200|B
20210203|ACOR|0|400|B
20210203|ACP|0|100|B
20210203|ACRE|500|800|B
20210203|ACRS|1700|21863|B
20210203|ACRX|19662|29157|B
20210203|ACST|37586|50633|B
20210203|ACTC|1500|4229|B
20210203|ACTG|5200|7757|B
20210203|ACV|100|100|B
20210203|ACWF|300|300|B
20210203|ACWI|13555|21586|B
20210203|ACWV|1541|1941|B
20210203|ACWX|4332|69994|B
20210203|ADAP|600|3906|B
20210203|ADBE|6394|9725|B
20210203|ADC|1900|2100|B
20210203|ADCT|4614|4714|B
20210203|ADERU|0|400|B
20210203|ADES|800|900|B
20210203|ADEX=|300|300|B
20210203|ADI|13925|16596|B
20210203|ADM|3089|14783|B
20210203|ADMA|7150|18519|B
20210203|ADMP|16600|49552|B
20210203|ADMS|2099|3999|B
20210203|ADNT|719|1219|B
20210203|ADOCW|1300|1500|B
20210203|ADP|5400|14245|B
20210203|ADPT|700|1500|B
20210203|ADS|5029|9629|B
20210203|ADSK|4378|6878|B
20210203|ADT|7445|19873|B
20210203|ADTN|980|980|B
