DATE|SYMBOL|SHORT VOLUME|TOTAL VOLUME|MARKET
20210105|A|1300|4113|X
20210105|AA|4000|15600|X
20210105|AAAU|23200|26200|X
20210105|AACQ|4720|11460|X
20210105|AAIC|365|365|X
20210105|AAL|160214|238038|X
20210105|AAME|1171|1171|X
20210105|AAN|1394|18618|X
20210105|AAOI|1500|1700|X
20210105|AAON|400|500|X
20210105|AAP|100|1600|X
20210105|AAPL|487290|648469|X
20210105|AAU|1534|1534|X
20210105|AAWW|600|600|X
20210105|AAXJ|31470|40970|X
20210105|AAXN|300|500|X
20210105|AB|500|700|X
20210105|ABB|6623|12916|X
20210105|ABBV|18208|21293|X
20210105|ABC|1200|1700|X
20210105|ABCB|570|1970|X
20210105|ABCL|3200|3500|X
20210105|ABCM|0|900|X
20210105|ABEO|6850|9350|X
20210105|ABEV|577025|612850|X
20210105|ABG|1000|1000|X
20210105|ABIO|100|200|X
20210105|ABM|500|700|X
20210105|ABMD|200|600|X
20210105|ABNB|23549|28549|X
20210105|ABR|428|628|X
20210105|ABT|700|1700|X
20210105|ABTX|0|100|X
20210105|ABUS|11659|15659|X
20210105|ACA|400|1000|X
20210105|ACAD|2800|5756|X
20210105|ACAM|4072|8375|X
20210105|ACAMW|0|100|X
20210105|ACB|48926|75824|X
20210105|ACC|100|400|X
20210105|ACCD|1100|1639|X
20210105|ACCO|200|200|X
20210105|ACER|1500|1600|X
20210105|ACET|100|100|X
20210105|ACEV|900|2100|X
20210105|ACGL|4900|6200|X
20210105|ACHC|3500|4000|X
20210105|ACI|5430|8630|X
20210105|ACIA|0|500|X
20210105|ACIW|1000|1600|X
20210105|ACLS|600|1000|X
20210105|ACM|1600|2500|X
20210105|ACMR|1100|1100|X
20210105|ACN|1010|2341|X
20210105|ACOR|900|1200|X
20210105|ACP|100|100|X
20210105|ACRE|649|649|X
20210105|ACRS|1000|4175|X
20210105|ACRX|5121|8821|X
20210105|ACST|78166|91303|X
20210105|ACTG|0|1100|X
20210105|ACWI|30763|45363|X
20210105|ACWV|700|700|X
20210105|ACWX|21863|25977|X
20210105|ACY|100|300|X
20210105|ADAP|5400|6800|X
20210105|ADBE|1200|2200|X
20210105|ADC|200|300|X
20210105|ADI|1089|1789|X
20210105|ADIL|100|100|X
20210105|ADM|7246|11746|X
20210105|ADMA|4321|6827|X
20210105|ADME|100|100|X
20210105|ADMP|3932|3932|X
20210105|ADMS|100|400|X
20210105|ADNT|4134|6434|X
20210105|ADP|2500|3600|X
20210105|ADPT|2200|5935|X
20210105|ADS|3200|6800|X
20210105|ADSK|900|1700|X
20210105|ADT|11768|20569|X
20210105|ADTN|100|1000|X
20210105|ADTX|900|1800|X
20210105|ADUS|0|100|X
20210105|ADV|1700|2453|X
20210105|ADVM|800|1300|X
20210105|ADX|1000|1300|X
20210105|ADXS|25849|30849|X
20210105|AEE|1200|5952|X
20210105|AEG|32858|33158|X
20210105|AEHL|100|100|X
20210105|AEIS|0|200|X
20210105|AEL|400|600|X
20210105|AEL-B|100|200|X
20210105|AEM|2700|4600|X
20210105|AEMD|1100|1100|X
